Name,Organization,Year Elected,Residency,Status
Nicholas Biddle,APS,1813,Resident,Member
Charles Chauncey,APS,1813,Resident,Member
Constant Dumeril,APS,1813,International,Member
Reuben Haines,APS,1813,Resident,Member
William Hembel,APS,1813,Resident,Member
William T. Meredith,APS,1813,Resident,Member
Benjamin R. Morgan,APS,1813,Resident,Member
George Pollock,APS,1813,Resident,Member
Anders J. Retzius,APS,1813,International,Member
John Sergeant,APS,1813,Resident,Member
Alexander Wilson,APS,1813,Resident,Member
Nathaniel Stout Allison,APS,1814,Resident,Member
Frederick Beasley,APS,1814,Resident,Member
John G. Biddle,APS,1814,Resident,Member
De Witt Clinton,APS,1814,Resident,Member
James Cutbush,APS,1814,Resident,Member
John S. Dorsey,APS,1814,Resident,Member
Thomas Gilpin,APS,1814,Resident,Member
John Gummere,APS,1814,Resident,Member
John E. Hall,APS,1814,Resident,Member
Joseph G. Swift,APS,1814,Resident,Member
James P. Wilson,APS,1814,Resident,Member
Samuel Colhoun,APS,1815,Resident,Member
James Gray,APS,1815,Resident,Member
Charles W. Hare,APS,1815,Resident,Member
Joseph Hartshorne,APS,1815,Resident,Member
Joseph Hopkinson,APS,1815,Resident,Member
Charles J. Ingersoll,APS,1815,Resident,Member
Joseph P. Norris,APS,1815,Resident,Member
Joseph Parrish,APS,1815,Resident,Member
John M. Scott,APS,1815,Resident,Member
Carlo Botta,APS,1816,International,Member
Abiel Holmes,APS,1816,Resident,Member
Jared Mansfield,APS,1816,Resident,Member
Joseph Reed,APS,1816,Resident,Member
Isaiah Thomas,APS,1816,Resident,Member
Gerard Troost,APS,1816,Resident,Member
Joseph P.F. Deleuze,APS,1817,International,Member
Johann P. Frank,APS,1817,International,Member
William Gaston,APS,1817,Resident,Member
Jos. von Hammer-Purgstall,APS,1817,International,Member
Charles A. Lesueur,APS,1817,International,Member
William Meade,APS,1817,Resident,Member
Charles F. Mercer,APS,1817,Resident,Member
Jean C. de la Metherie,APS,1817,International,Member
Eugenius Nulty,APS,1817,Resident,Member
Thomas Nuttall,APS,1817,Resident,Member
George Ord,APS,1817,Resident,Member
John C. Otto,APS,1817,Resident,Member
Richard Rush,APS,1817,Resident,Member
Thomas Say,APS,1817,Resident,Member
Lewis Schweinitz,APS,1817,Resident,Member
Joseph von Sonnenfels,APS,1817,International,Member
Henry Steinhauer,APS,1817,Resident,Member
Edward Troughton,APS,1817,International,Member
Johann S. Vater,APS,1817,International,Member
John Q. Adams,APS,1818,Resident,Member
Friedrich Adelung,APS,1818,International,Member
Jacob Bigelow,APS,1818,Resident,Member
Parker Cleaveland,APS,1818,Resident,Member
Daniel Drake,APS,1818,Resident,Member
Nicholas Fuss,APS,1818,International,Member
Paul Jackson,APS,1818,Resident,Member
Josiah Meigs,APS,1818,Resident,Member
Noel de la Moriniere,APS,1818,International,Member
Joseph Swain,APS,1818,Resident,Member
Gotthilf Fischer Von Waldheim,APS,1818,International,Member
John C. Warren,APS,1818,Resident,Member
Johann A. Albers,APS,1819,International,Member
Henri M. Ducrotay de Blainville,APS,1819,International,Member
Alexandre Brongniart,APS,1819,International,Member
Redmond Conyngham,APS,1819,Resident,Member
Anselme G. Desmarest,APS,1819,International,Member
William P. Dewees,APS,1819,Resident,Member
John Eberle,APS,1819,Resident,Member
Stephan Elliot,APS,1819,Resident,Member
L.H. Girardin,APS,1819,Resident,Member
William E. Horner,APS,1819,Resident,Member
Louis M. Langles,APS,1819,International,Member
Comte de Jean D. Lanjuinais,APS,1819,International,Member
Pierre A. Latreille,APS,1819,International,Member
John Murray,APS,1819,International,Member
Jacob Perkins,APS,1819,Resident,Member
Fred C. Schaeffer,APS,1819,Resident,Member
Guillaume T. Tilesius,APS,1819,International,Member
Roberts Vaux,APS,1819,Resident,Member
Franklin Bache,APS,1820,Resident,Member
John J. Berzelius,APS,1820,International,Member
J.A. Borgnis,APS,1820,International,Member
William Gibson,APS,1820,Resident,Member
Baron von Joseph Hormayr,APS,1820,International,Member
Samuel F. Jarvis,APS,1820,Resident,Member
Matthew Lesseps,APS,1820,International,Member
Isaiah Lukens,APS,1820,Resident,Member
William Marsden,APS,1820,International,Member
Jacques P. Merigon de Montgery,APS,1820,International,Member
John Pickering,APS,1820,Resident,Member
William Strickland,APS,1820,Resident,Member
Peter Afzelius,APS,1821,International,Member
Clement C. Biddle,APS,1821,Resident,Member
Elisha De Butts,APS,1821,Resident,Member
Mathew Carey,APS,1821,Resident,Member
Langdon Cheves,APS,1821,Resident,Member
John B. Gibson,APS,1821,Resident,Member
Levitt Harris,APS,1821,Resident,Member
George A. Otis,APS,1821,Resident,Member
Count Gustavus Wetterstedt,APS,1821,International,Member
James Workman,APS,1821,Resident,Member
Sir James Wylie,APS,1821,International,Member
Solomon W. Conrad,APS,1822,Resident,Member
Jose B. de Andrada e Silva,APS,1822,International,Member
Richard Harlan,APS,1822,Resident,Member
Baron von Wilhelm Humboldt,APS,1822,International,Member
William H. Keating,APS,1822,Resident,Member
Zacharias Nordmark,APS,1822,International,Member
Samuel Parkes,APS,1822,International,Member
Peder Pedersen,APS,1822,International,Member
Peter Poletica,APS,1822,International,Member
Condy Raguet,APS,1822,Resident,Member
Gottlob E. Schultze,APS,1822,International,Member
Jons Svanberg,APS,1822,International,Member
Lardner Vanuxem,APS,1822,Resident,Member
Joseph Bonaparte,APS,1823,International,Member
Lucien Bonaparte,APS,1823,International,Member
Benjamin H. Coates,APS,1823,Resident,Member
William B. Collyer,APS,1823,International,Member
